Table 1
Producto,,Precio de venta con IVA,,,
EPTQ S100,,"$1,740",,,
EPTQ S300,,"$1,740",,,
EPTQ S500,,"$1,798",,,
Rejuran HB,,"$8,500",,,
Lumiglam H 10ml,,"$3,900",,,
Lumiglam S 10ml,,"$3,900",,,
DA-X Exosomas,,"$3,200",,,
Rejunox 100 UI,,"$2,500",,,
Innotox 50 UI,,"$1,650",,,
Belotero Soft – 1 ml,,"$2,950",,,
Belotero Revive – 1 ml,,"$2,550",,,
Belotero Balance – 1 ml,,"$3,300",,,
Belotero Intense – 1 ml,,"$3,300",,,
Belotero Volume – 2x1 ml,,"$6,400",,,
Restylane Kysse – 1 ml,,"$3,750",,,
Restylane Lyft – 1 ml,,"$3,750",,,
Restylane Defyne – 1 ml,,"$3,750",,,
Restylane Volyme – 1 ml,,"$3,750",,,
Restylane Skinbooster Vital – 1 ml,,"$3,190",,,
Juvederm Ultra Smile – 2x0.55 ml,,"$5,200",,,
Juvederm Volbella – 2x1 ml,,"$7,600",,,
Juvederm Voluma – 2x1 ml,,"$7,600",,,
Juvederm Volift – 2x1 ml,,"$7,600",,,
Juvederm Volux – 2x1 ml,,"$8,400",,,
HarmonyCa 1.25 ml,,"$8,900",,,
Profhilo H+L 1x2ml,,"$4,400",,,
Radiesse 1.5 ml (sin lidocaína),,"$4,300",,,
Radiesse 1.5 ml con lidocaína,,"$4,350",,,
NCTF 135HA (caja 5x3ml),,"$11,000",,,
NCTF 135HA (vial individual),,"$2,550",,,
Profhilo Body Kit,,"$9,800",,,
Teosyal Redensity 2 – 2x1 ml,,"$6,550",,,
Teosyal Kiss – 2x1 ml,,"$6,550",,,
Teosyal RHA 1 – 2x1 ml,,"$6,950",,,
Teosyal RHA 2 – 2x1 ml,,"$7,150",,,
Teosyal RHA 3 – 2x1 ml,,"$7,200",,,
Teosyal RHA 4 – 2x1 ml,,"$7,550",,,
Teosyal Ultra Deep – 2x1.2 ml,,"$6,450",,,
Sculptra – 2x5 ml,,"$13,850",,,
Sculptra-1x5ml,,"$7,000",,,
,, ,,,
